name,bse_code,nse_code,industry,current_price,price_to_earning,market_capitalization,roce,eps_last_year,roe,book_value,price_to_book_value,graham_number,historical_pe_7years,current_ratio,peg_ratio,debt_equity,z_score,f_score,npm_last_year,growth,eps,industry_pe,quick_ratio,debtor_days,number_of_equity_shares,intrinsic_value,enterprise_value,pledged_percentage,promoter_holding,earnings_yield,free_cash_flow_3years,g_factor,return_on_assets,ticker,debt_equity_norm,current_ratio_norm,growth_norm,roce_norm,roe_norm,final_score
Motherson Wiring,543498.0,MSUMI,Auto Ancillaries,50.8,35.52,22459.23,47.96,1.44,42.45,3.66,13.88,10.85,51.9,1.68,,0.17,15.21,9.0,7.66,28.36,1.43,24.58,0.82,39.26,442.11,38.64,22688.55,0.0,61.73,3.8,1105.7,5.0,21.15,,0.8131868131868132,0.04664075513603553,0.1323810857489614,0.28365270877691035,0.10887407027442936,0.2429068002527374
Loyal Equipments,539227.0,,Engineering,196.2,20.22,211.7,28.34,6.95,27.22,31.15,6.3,84.23,20.96,2.37,2.12,0.09,10.27,8.0,10.04,40.26,10.12,32.36,0.93,66.53,1.08,142.2,210.94,0.0,73.53,6.74,12.14,5.0,13.47,LOYAL.BO,0.9010989010989011,0.06579677956690727,0.18792886150399105,0.1676129642772652,0.06981277250577071,0.24279155381082154
Force Motors,500033.0,FORCEMOT,Automobiles - LCVs / HCVs,7239.35,18.84,9538.76,23.82,294.54,18.83,1883.4,3.84,4035.21,18.41,1.35,0.85,0.09,7.06,9.0,5.56,52.07,384.24,18.84,0.49,5.43,1.32,6509.91,9486.96,0.0,61.63,8.62,768.67,5.0,9.23,FORCEMOT.NS,0.9010989010989011,0.03747917823431427,0.2430565280306213,0.14088005677785662,0.04829443447037702,0.24125970106900005
KFin Technolog.,543720.0,KFINTECH,Miscellaneous,915.55,48.88,15741.83,30.26,14.39,24.47,70.76,12.94,172.95,44.13,4.47,0.52,0.04,19.61,8.0,29.38,20.29,18.79,44.09,4.47,66.2,17.19,307.94,15550.82,0.0,32.96,2.78,543.0,5.0,18.44,KFINTECH.NS,0.9560439560439561,0.12409772348695168,0.09471129160248332,0.1789685356044476,0.06275968196973583,0.24024960451944125
Newgen Software,540900.0,NEWGEN,Computers - Software - Medium / Small,949.3,45.86,13444.48,26.58,16.92,22.72,86.22,11.01,201.35,22.95,4.11,2.33,0.03,17.11,8.0,20.7,23.01,20.9,27.72,4.11,101.32,14.16,365.82,13275.45,0.0,54.3,2.78,451.71,4.0,17.2,NEWGEN.NS,0.967032967032967,0.11410327595780122,0.10740792606077582,0.15720369056068131,0.05827135162862272,0.23782259019956006
Akzo Nobel,500710.0,AKZOINDIA,Paints / Varnishes,3124.5,33.1,14229.07,42.29,93.7,32.33,312.91,9.99,815.24,35.25,1.39,1.93,0.05,9.95,8.0,10.79,17.83,94.4,33.56,0.92,53.01,4.55,955.69,13670.77,0.0,74.76,4.32,806.9,4.0,15.15,AKZO.VI,0.945054945054945,0.03858967240421987,0.08322830602623349,0.2501182872013248,0.08291869710182098,0.23689064960627326
Nitiraj Engineer,,NITIRAJ,Electronics - Components,362.45,30.21,371.55,21.0,11.75,16.14,74.65,4.86,141.96,27.02,4.75,1.94,0.0,10.36,9.0,11.83,23.44,12.0,49.26,2.31,46.48,1.03,124.73,366.65,0.0,69.07,4.52,11.97,5.0,13.95,NITIRAJ.NS,1.0,0.13187118267629094,0.10941511459646176,0.12420156139105748,0.04139522954603745,0.23684737337179265
Nitta Gelatin,506532.0,,Chemicals,677.6,8.47,615.26,35.19,91.02,27.05,416.04,1.63,898.26,11.04,4.78,0.09,0.05,5.85,8.0,15.79,10.37,86.2,28.35,3.46,58.45,0.91,1378.7,536.84,0.0,74.48,18.83,162.09,5.0,21.3,NITTAGELA.BO,0.945054945054945,0.13270405330372015,0.04840591887224011,0.20812633073101489,0.06937676327263402,0.2359011509377756
Sharda Motor,535602.0,SHARDAMOTR,Auto Ancillaries,1463.05,13.78,4349.89,39.32,99.19,30.0,309.99,4.72,860.57,13.94,1.54,0.52,0.03,8.06,8.0,9.65,17.39,106.18,24.58,1.22,29.51,2.97,1959.33,4194.33,0.0,64.31,10.11,229.41,5.0,17.72,SHARDAMOTR.NS,0.967032967032967,0.042754025541365905,0.08117443868739206,0.23255263780458954,0.07694280584765324,0.2357984485655148
Ratnamani Metals,520111.0,RATNAMANI,Steel - Medium / Small,2475.1,32.86,17348.47,27.72,88.85,21.63,469.8,5.27,893.18,32.73,3.57,1.67,0.08,9.86,8.0,12.33,30.09,75.47,22.58,1.5,67.92,7.01,1427.74,17555.74,0.0,59.77,4.29,48.33,3.0,15.99,RATNAMANI.NS,0.9120879120879121,0.0991116046640755,0.14045651869486067,0.16394606103619586,0.05547576301615799,0.23563400223018785
KPIT Technologi.,542651.0,KPITTECH,Computers - Software - Medium / Small,1206.45,43.59,33074.08,38.36,21.69,31.19,91.21,13.23,238.4,53.19,1.3,0.88,0.14,14.48,9.0,12.24,33.76,27.69,27.72,1.25,56.12,27.41,674.17,32527.02,0.0,39.47,3.34,1588.2,5.0,16.03,KPITTECH.NS,0.8461538461538461,0.036091060521932256,0.15758763945292442,0.2268748521409983,0.07999487047961017,0.23491214341481614
Premier Polyfilm,514354.0,PREMIERPOL,Plastics Products,61.42,23.73,643.33,29.23,1.97,24.46,10.17,6.04,24.34,15.85,2.56,0.66,0.0,11.07,9.0,7.94,19.86,2.59,26.66,1.57,49.68,10.47,23.38,640.74,0.0,67.37,5.79,17.23,6.0,15.3,PREMIERPOL.BO,1.0,0.0710716268739589,0.09270410306679737,0.17287674473621953,0.06273403436778661,0.23451250696229234
Vikram Thermo,530477.0,,Chemicals,175.25,17.17,549.55,30.67,8.08,24.89,33.49,5.23,46.37,14.24,3.86,0.41,0.06,10.52,8.0,20.01,19.75,2.85,28.35,3.35,113.51,3.14,90.64,553.69,0.0,65.94,8.17,16.3,6.0,18.74,VIKRAMTH.BO,0.9340659340659341,0.10716268739589116,0.09219063623208701,0.18139342323160634,0.06383688125160299,0.23363614754373196
Ecoplast,526703.0,,Packaging,593.2,19.36,177.96,31.98,30.57,24.21,150.7,3.94,322.29,11.81,3.53,0.74,0.02,9.76,9.0,8.06,14.35,30.63,23.41,1.77,34.38,0.3,234.48,176.25,0.0,64.84,7.02,20.27,5.0,18.47,038110.KQ,0.978021978021978,0.09800111049416989,0.06698408252812398,0.1891412349183818,0.06209284431905617,0.23329635528164924
Hawkins Cookers,508486.0,,Domestic Appliances,7363.35,34.04,3895.21,44.52,207.72,36.04,622.38,11.83,1740.88,34.59,2.43,2.25,0.08,16.36,8.0,10.72,10.05,216.42,61.7,1.57,17.0,0.53,2647.82,3759.13,0.0,56.03,4.18,148.83,4.0,22.27,HAWKINCOOK.BO,0.9120879120879121,0.06746252082176568,0.04691219717126453,0.26330731014904185,0.09243395742498077,0.23318199378516058
3M India,523395.0,3MINDIA,Diversified - Large,27880.3,56.59,31421.1,33.04,476.05,24.81,1478.47,18.86,4049.32,75.83,2.19,5.31,0.01,22.06,9.0,13.64,17.5,492.91,11.35,1.52,63.12,1.13,3800.52,30803.95,0.0,75.0,2.47,1183.71,3.0,16.97,3MINDIA.BO,0.989010989010989,0.06079955580233203,0.08168790552210242,0.1954104565885971,0.06363170043600923,0.23274196729756164
Mazda,523792.0,MAZDA,Engineering,233.56,16.31,467.7,21.26,15.76,15.86,108.67,2.15,187.22,13.08,5.93,0.93,0.0,6.14,8.0,14.0,13.93,14.34,31.58,4.67,53.72,2.0,296.91,462.44,0.0,48.52,8.38,51.75,4.0,13.58,MZDAY,1.0,0.16463076068850635,0.06502357279559352,0.1257392950082801,0.04067709669145935,0.23246532367654757
Hind.Aeronautics,541154.0,HAL,Engineering,3396.15,26.27,227126.02,38.88,113.57,28.89,464.81,7.31,1163.09,13.48,1.72,0.99,0.0,5.93,9.0,24.99,9.91,129.35,71.82,1.3,55.47,66.88,1601.35,198226.17,0.0,71.64,5.76,22221.65,5.0,10.12,,1.0,0.047751249305941136,0.046258693927087716,0.22995031937544358,0.07409592203129008,0.23192417162430687
RPG LifeScience.,532983.0,RPGLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,2059.1,35.65,3405.55,34.65,53.0,25.46,229.39,8.98,496.92,22.94,1.97,0.69,0.0,13.14,8.0,14.93,14.36,47.84,27.99,1.38,30.81,1.65,910.62,3371.52,0.0,72.95,4.26,124.25,6.0,18.64,,1.0,0.05469183786785119,0.06703076133127947,0.20493257629524483,0.06529879456270839,0.23174233207798076
Elecon Engg.Co,505700.0,ELECON,Engineering,391.1,23.58,8776.28,31.32,15.85,24.47,78.18,5.0,170.83,18.35,3.03,0.43,0.07,9.03,9.0,18.21,22.87,16.59,31.58,2.42,83.85,22.44,268.42,8659.15,0.0,59.27,5.67,811.49,5.0,18.31,,0.9230769230769231,0.08411993337034979,0.106754422816599,0.18523775727466288,0.06275968196973583,0.2315736186886379
Grauer & Weil,505710.0,GRAUWEIL,Chemicals,89.38,25.23,4052.59,26.06,3.23,19.62,19.18,4.66,39.1,18.82,3.13,1.53,0.01,8.56,9.0,13.63,20.84,3.54,28.35,2.6,63.47,45.34,49.31,3606.64,0.0,69.04,6.07,245.61,4.0,14.01,GRAUWEIL.BO,0.989010989010989,0.08689616879511382,0.0972786257760351,0.15412822332623607,0.05032059502436523,0.23094030222480014
BSE,,BSE,Miscellaneous,3926.25,56.81,53152.14,19.97,57.5,15.2,273.89,14.34,653.62,31.29,1.24,3.39,0.0,9.2,8.0,28.64,36.19,69.33,44.09,1.24,48.33,13.54,652.04,47918.08,0.0,0.0,2.6,3840.22,5.0,5.91,^BSESN,1.0,0.034425319267073845,0.16893058861970778,0.11810977052282941,0.038984354962810976,0.23053653610546979
Gabriel India,505714.0,GABRIEL,Auto Ancillaries,509.6,34.77,7320.1,26.72,12.89,19.58,74.89,6.8,157.15,21.88,1.9,2.46,0.01,10.71,9.0,5.5,25.41,14.66,24.58,1.5,49.46,14.36,220.73,7284.96,0.0,55.0,3.9,165.2,6.0,12.1,GABRIEL.BO,0.989010989010989,0.052748473070516375,0.11861083881809271,0.15803170096995503,0.05021800461656835,0.23020399378757947
Kriti Nutrients,533210.0,KRITINUT,Solvent Extraction,90.29,11.08,452.38,34.28,9.04,29.31,39.67,2.28,85.29,11.99,5.52,0.51,0.04,8.9,8.0,6.61,-0.27,8.15,20.54,3.24,11.03,5.01,101.34,440.97,0.0,66.68,12.8,35.09,5.0,22.51,KRITINUT.NS,0.9560439560439561,0.15324819544697388,-0.0012603276851981516,0.20274426307073573,0.07517312131315722,0.22932462745146723
Kewal Kir.Cloth.,532732.0,KKCL,Textiles - Products,469.1,19.21,2890.84,31.03,25.07,25.14,128.17,3.66,265.37,24.31,2.22,1.38,0.19,6.54,8.0,17.88,41.65,24.42,30.64,1.77,86.01,6.16,352.24,2905.23,0.0,74.26,6.98,233.46,4.0,18.59,,0.7912087912087912,0.061632426429761245,0.19441721514260374,0.18352259285545303,0.06447807130033342,0.22921224058407916
Supriya Lifesci.,543434.0,SUPRIYA,Pharmaceuticals - Indian - Bulk Drugs & Formln,597.45,27.56,4808.44,22.15,14.8,15.73,112.56,5.31,234.33,23.42,5.48,1.11,0.01,10.7,8.0,20.88,13.39,21.68,27.99,4.05,71.47,8.05,648.04,4729.64,0.0,68.3,5.06,-87.67,4.0,13.68,SUPRIYA.NS,0.989010989010989,0.1521377012770683,0.06250291742519723,0.13100307546723441,0.040343677866119525,0.2286742686300321
G M Polyplast,543239.0,,Plastics Products,112.45,26.93,151.35,33.86,5.27,24.76,26.29,4.28,49.69,33.22,3.81,0.68,0.12,9.63,8.0,7.68,20.85,4.18,26.66,2.27,75.17,1.35,86.83,155.32,0.0,73.54,5.54,2.96,5.0,18.06,GMPL.BO,0.8681318681318682,0.10577456968350915,0.0973253045791906,0.20026023184291458,0.06350346242626315,0.22845875915511527
Bharat Electron,500049.0,BEL,Electronics - Components,280.07,41.02,204724.98,34.61,5.45,26.27,24.16,11.59,60.93,21.26,1.62,2.56,0.0,10.37,9.0,19.57,12.83,6.83,50.09,1.17,133.13,730.98,89.55,196469.54,0.0,51.14,3.37,8286.06,5.0,10.57,BEL.NS,1.0,0.044975013881177126,0.059888904448489946,0.2046960018925952,0.06737625032059502,0.22838167933099593
Godawari Power,532734.0,GPIL,Steel - Large,172.83,14.3,11561.89,29.19,13.76,21.89,67.67,2.55,135.0,5.39,3.76,0.48,0.01,6.68,8.0,16.89,11.3,11.97,16.51,2.3,14.21,66.9,177.16,10823.55,0.0,63.51,10.81,1863.2,4.0,17.18,GPIL.BO,0.989010989010989,0.10438645197112714,0.05274704756570042,0.1726401703335699,0.056142600666837655,0.2281722548373804
Nucleus Soft.,531209.0,NUCLEUS,Computers - Software - Medium / Small,805.3,14.34,2156.06,31.98,71.56,24.04,267.6,3.01,581.52,17.51,1.24,0.78,0.0,5.26,8.0,20.19,17.19,56.16,27.72,1.24,73.38,2.68,679.37,2099.84,0.0,73.6,9.56,274.31,5.0,16.78,NUCLEUS.NS,1.0,0.034425319267073845,0.08024086262428232,0.1891412349183818,0.061656835085919466,0.22710489351034563
Supreme Inds.,509930.0,SUPREMEIND,Plastics Products,3343.75,41.57,42474.61,28.56,84.21,21.73,417.71,8.01,869.47,36.14,2.54,1.99,0.01,13.72,8.0,10.19,16.83,80.44,26.66,1.21,18.42,12.7,1742.75,41865.65,0.0,48.85,3.23,1338.91,3.0,16.87,,0.989010989010989,0.0705163797890061,0.07856042571068478,0.16891412349183815,0.05573223903565017,0.22702430324261844
Par Drugs & Che.,,PAR,Pharmaceuticals - Indian - Bulk Drugs,97.74,7.79,120.27,25.0,11.78,18.48,78.64,1.24,148.95,18.74,3.2,0.19,0.0,4.66,8.0,15.15,16.33,12.54,25.37,2.87,52.32,1.23,289.52,101.49,0.0,73.37,20.57,24.55,4.0,15.21,,1.0,0.08883953359244863,0.07622648555291042,0.1478590016560208,0.047396768402154406,0.22587568211835238
Mankind Pharma,543904.0,MANKIND,Pharmaceuticals - Indian - Bulk Drugs & Formln,2201.15,46.97,90814.72,24.57,45.52,19.71,261.47,8.42,542.8,54.42,3.21,1.72,0.02,13.91,9.0,18.51,18.82,50.08,27.99,2.76,29.53,41.26,1040.69,90391.63,0.0,72.71,2.87,1592.01,3.0,16.5,MANKIND.BO,0.978021978021978,0.08911715713492503,0.08784950753862672,0.14531582682753724,0.05055142344190819,0.22566255506882746
Disa India,500068.0,,Engineering,13882.05,39.76,2018.73,25.81,285.66,19.14,1730.16,8.02,3653.41,32.8,2.08,4.29,0.01,10.27,8.0,13.59,21.6,342.87,31.58,1.58,33.27,0.15,3671.23,1800.38,0.0,74.82,3.85,75.76,6.0,11.42,DISAQ.BO,0.989010989010989,0.05774569683509161,0.10082621481585213,0.15264963330967588,0.049089510130802774,0.22545517011072544
