name,bse_code,nse_code,industry,current_price,price_to_earning,market_capitalization,roce,eps_last_year,roe,book_value,price_to_book_value,graham_number,historical_pe_7years,current_ratio,peg_ratio,debt_equity,z_score,f_score,npm_last_year,growth,eps,industry_pe,quick_ratio,debtor_days,number_of_equity_shares,intrinsic_value,enterprise_value,return_on_invested_capital,debt_equity_norm,current_ratio_norm,growth_norm,roce_norm,roe_norm,final_score
Nila Spaces,542231.0,NILASPACES,Construction,11.42,36.96,449.82,17.09,0.34,11.1,3.4,3.36,4.86,24.47,1.77,1.03,0.16,4.26,8.0,14.79,26.21,0.31,27.87,1.19,2.54,39.39,2.9,451.28,15.19,0.7647058823529411,0.08881083793276467,0.27026190967209734,0.2941480206540447,0.19453207150368032,0.29776954578906345
Escorts Kubota,500495.0,ESCORTS,Automobiles - Tractors,2908.5,28.5,32539.64,16.08,94.94,12.0,879.25,3.31,1459.92,29.17,2.81,1.67,0.01,6.82,8.0,11.77,8.05,107.74,28.5,2.05,48.39,11.19,1323.45,31554.93,27.74,0.9852941176470589,0.14099347717009533,0.08300680552691277,0.2767641996557659,0.2103049421661409,0.29415834282718745
Panasonic Energy,504093.0,,Dry Cells,344.45,22.14,258.34,16.0,15.52,12.03,138.65,2.48,220.32,23.78,2.57,1.19,0.02,6.51,9.0,4.0,7.97,15.56,24.75,1.45,8.64,0.75,132.44,247.06,13.69,0.9705882352941176,0.12895132965378825,0.08218189317385027,0.27538726333907054,0.21083070452155625,0.2891675680904632
L T Foods,532783.0,LTFOODS,Food - Processing - Indian,334.55,19.57,11617.35,21.09,17.09,19.32,105.22,3.18,201.17,9.28,2.49,0.55,0.33,6.67,8.0,7.67,17.91,17.09,29.95,0.7,31.74,34.73,278.19,12552.24,16.42,0.5147058823529411,0.12493728048168591,0.1846772530418643,0.36299483648881237,0.33859095688748686,0.28867981038500423
Rudrabhish. Ent.,,REPL,Miscellaneous,170.75,21.19,306.13,17.33,8.1,12.34,72.66,2.35,116.14,21.04,2.91,1.91,0.12,5.38,8.0,14.01,11.03,8.25,23.49,2.91,324.46,1.79,161.3,318.61,13.8,0.8235294117647058,0.1460110386352233,0.1137347906784904,0.29827882960413077,0.21626358219418154,0.2840737995210356
Amines & Plast.,506248.0,AMNPLST,Chemicals,207.56,27.76,1142.0,23.3,7.24,19.78,42.86,4.84,84.91,20.14,2.2,1.43,0.34,7.93,9.0,6.16,13.55,7.48,28.35,1.37,55.25,5.5,105.68,1185.45,16.12,0.5,0.11038635223281486,0.13971952979995875,0.4010327022375215,0.34665264633718895,0.28154422261149475
20 Microns,533022.0,20MICRONS,Mining / Minerals / Metals,193.66,11.09,683.36,21.7,15.89,17.75,108.72,1.78,205.3,8.42,1.75,0.62,0.34,4.75,8.0,7.39,17.15,17.23,16.24,1.04,58.93,3.53,267.48,798.18,15.11,0.5,0.08780732563973909,0.17684058568777064,0.37349397590361444,0.31107606028741674,0.2736856187880967
Medico Remedies,540937.0,MEDICO,Pharmaceuticals - Indian - Bulk Drugs & Formln,56.25,52.74,466.79,21.31,1.0,17.23,6.69,8.41,12.67,54.46,1.8,1.34,0.21,10.83,8.0,5.72,5.79,1.07,27.99,1.4,125.0,8.3,10.35,476.68,15.24,0.6911764705882353,0.09031610637230307,0.0597030315528975,0.3667814113597246,0.30196284612688395,0.27041430124824195
M E T S,538401.0,,Healthcare,164.95,16.26,90.89,23.28,8.97,17.61,59.51,2.77,116.55,18.27,2.12,0.23,0.07,5.29,8.0,14.84,-11.21,10.14,53.78,1.87,172.36,0.55,300.91,61.7,16.57,0.8970588235294118,0.1063723030607125,-0.11559084347288101,0.4006884681583477,0.30862250262881175,0.2687977674307659
MRF,500290.0,MRF,Tyres,105041.6,25.41,44549.64,16.12,4907.26,12.55,41658.98,2.52,62248.76,26.08,1.42,2.15,0.18,4.89,8.0,7.83,15.91,4134.0,23.21,0.81,42.23,0.42,58144.73,47413.61,15.93,0.7352941176470589,0.07124937280481686,0.16405444421530213,0.2774526678141136,0.21994391868208904,0.26503692056108824
Mahalaxmi Rubtec,514450.0,MHLXMIRU,Textiles - Processing,204.24,13.51,216.91,25.29,10.41,23.33,56.85,3.59,139.17,10.98,2.48,0.68,0.19,7.35,8.0,14.34,-17.44,15.14,18.89,1.81,45.0,1.06,105.5,200.09,17.7,0.7205882352941176,0.1244355243351731,-0.1798308929676222,0.4352839931153184,0.4088678583946722,0.25684798722124486
Lupin,500257.0,LUPIN,Pharmaceuticals - Indian - Bulk Drugs & Formln,1968.45,31.33,89867.8,15.72,42.01,14.14,342.85,5.74,696.57,43.84,1.88,1.49,0.22,8.33,8.0,9.56,9.69,62.9,27.99,1.22,85.58,45.65,415.35,91896.42,13.72,0.6764705882352942,0.09433015554440541,0.09991750876469374,0.2705679862306368,0.2478093235191027,0.24899145848529655
